Country,Fiscal Year,Population,Annual Growth Rate,Rate of Natural Increase,Population Density,Crude Birth Rate,Net Migration Rate,"Net International Migrants, Both Sexes"
Mali,1998,10309101,2.57,3.31,8.4,50.2,-7.4,-75795.0
Malta,1998,388442,0.8,0.39,0.0,11.9,4.1,1584.0
Marshall Islands,1998,51554,1.46,3.29,284.8,38.5,-18.3,0.0
Mauritania,1998,2353562,1.98,3.36,2.3,43.2,-13.8,-32492.0
Mauritius,1998,1160658,0.98,0.99,571.8,16.6,0.0,0.0
Mexico,1998,97132683,1.46,1.98,50.0,24.7,-5.2,-507731.0
"Micronesia, Federated States of",1998,107226,0.29,2.37,152.7,29.6,-20.8,-2226.0
Moldova,1998,4266196,-0.91,0.04,129.7,11.4,-9.5,-40516.0
Monaco,1998,31502,0.54,-0.12,0.0,6.1,6.6,0.0
Mongolia,1998,2402673,1.26,1.5,1.5,22.3,-2.4,-5778.0
Montenegro,1998,623492,0.0,0.63,46.3,14.8,-6.2,-3889.0
Montserrat,1998,3381,-168.94,-0.71,33.1,9.8,0.0,-5688.0
Morocco,1998,27814994,1.19,1.61,38.8,23.6,-4.1,-115220.0
Mozambique,1998,17794446,2.06,2.4,22.6,44.5,-3.4,-60501.0
Namibia,1998,1783944,2.29,2.23,2.2,33.5,0.5,0.0
Nauru,1998,9882,-0.11,2.12,470.6,28.7,-22.3,0.0
Nepal,1998,22671580,1.87,2.48,158.2,34.2,-6.2,-139687.0
Netherlands,1998,15717094,0.67,0.4,463.7,12.7,2.7,43118.0
New Caledonia,1998,203244,1.92,1.66,11.1,21.4,2.6,0.0
New Zealand,1998,3764312,0.5,0.77,14.2,14.7,-2.7,-10199.0
Nicaragua,1998,4678511,1.84,2.39,39.0,29.6,-5.4,-25388.0
Niger,1998,10042489,3.39,3.51,7.9,57.4,-1.3,-12738.0
Nigeria,1998,118927944,2.71,2.71,130.6,44.2,0.0,1154.0
North Macedonia,1998,1995474,0.52,0.62,78.5,14.7,-1.0,-2019.0
Northern Mariana Islands,1998,64904,0.0,0.0,137.5,0.0,0.0,0.0
Norway,1998,4432719,0.64,0.32,14.6,13.2,3.1,13823.0
Oman,1998,2318557,2.51,2.42,7.5,28.2,0.9,2126.0
Pakistan,1998,140545159,2.48,2.64,182.3,36.3,-1.6,-220998.0
Palau,1998,18771,2.38,0.64,40.9,14.9,17.4,0.0
Panama,1998,2810940,1.83,1.86,37.8,23.5,-0.2,0.0
Papua New Guinea,1998,5120546,2.88,2.88,11.3,35.8,0.0,0.0
Paraguay,1998,5199553,2.21,2.22,13.1,27.3,-0.1,0.0
Peru,1998,24999538,1.58,1.79,19.5,24.3,-2.1,-51378.0
Philippines,1998,73281726,2.15,2.42,245.8,29.8,-2.7,-194614.0
Poland,1998,38668755,0.02,0.05,127.1,10.2,-0.3,-13300.0
Portugal,1998,10224826,0.66,0.07,111.8,11.1,6.0,60800.0
Puerto Rico,1998,3781101,0.0,0.0,426.3,0.0,0.0,0.0
Qatar,1998,578194,5.32,1.66,49.9,18.7,36.6,21151.0
Romania,1998,22511376,-0.17,-0.14,97.9,10.5,-0.2,-5347.0
Russia,1998,149120996,-0.16,-0.47,9.1,8.6,3.1,458361.0
Rwanda,1998,7896686,1.17,2.75,320.1,42.4,-15.9,-125208.0
Saint Barthelemy,1998,6748,2.86,1.05,269.9,15.4,18.1,0.0
"Saint Helena, Ascension, and Tristan da Cunha",1998,7120,0.8,0.8,18.1,14.0,0.0,0.0
Saint Kitts and Nevis,1998,44604,1.21,1.07,170.9,19.4,1.4,0.0
Saint Lucia,1998,151024,0.68,1.26,249.2,18.9,-5.8,0.0
Saint Martin,1998,30355,-3.33,1.47,562.1,17.9,-48.1,-1459.0
Saint Pierre and Miquelon,1998,6428,0.11,0.51,26.6,11.2,-4.0,0.0
Saint Vincent and the Grenadines,1998,108404,-0.25,1.32,278.7,20.9,-15.7,-1702.0
Samoa,1998,173305,0.87,2.53,61.4,31.4,-16.6,-2874.0
San Marino,1998,26159,1.56,0.36,428.8,10.9,12.0,0.0
Sao Tome and Principe,1998,134800,2.07,3.31,139.8,45.1,-12.4,-1674.0
Saudi Arabia,1998,20337097,2.57,2.46,9.5,28.6,1.1,21616.0
Senegal,1998,9033357,2.63,2.98,46.9,42.1,-3.6,-32044.0
Serbia,1998,7675301,0.5,-0.3,99.1,9.9,8.0,61046.0
Seychelles,1998,77174,1.21,1.09,169.6,18.3,1.2,0.0
Sierra Leone,1998,4056360,0.57,2.43,56.6,45.3,-18.6,-75483.0
Singapore,1998,3968225,2.82,1.09,0.0,14.9,17.3,68687.0
Sint Maarten,1998,31372,-0.83,1.21,922.7,15.9,-20.3,0.0
Slovakia,1998,5390233,0.11,0.08,112.1,10.7,0.2,1307.0
Slovenia,1998,2010805,-0.16,-0.06,99.8,8.9,-1.1,-2107.0
Solomon Islands,1998,408598,2.86,3.1,14.6,35.9,-2.5,-1003.0
Somalia,1998,8482450,4.13,4.15,13.5,57.7,-0.2,-1494.0
South Africa,1998,43963381,1.39,1.44,36.2,22.7,-0.5,-21957.0
South Sudan,1998,5875069,0.0,0.0,9.1,0.0,0.0,0.0
Spain,1998,40046103,0.41,0.01,80.3,9.1,4.0,158756.0
Sri Lanka,1998,18569803,0.0,0.0,287.3,0.0,0.0,0.0
Sudan,1998,26404611,0.0,0.0,14.2,0.0,0.0,0.0
Suriname,1998,452210,1.34,1.91,2.9,25.3,-5.7,-2577.0
Sweden,1998,8902684,0.07,-0.05,21.7,10.0,1.2,10873.0
Switzerland,1998,7217046,0.25,0.23,180.4,10.9,0.3,1825.0
Syria,1998,15654697,0.0,0.0,84.2,0.0,0.0,0.0
Taiwan,1998,21834438,0.83,0.66,676.8,12.3,1.7,36978.0
Tajikistan,1998,5907681,1.96,2.22,41.7,31.1,-2.6,-15394.0
Tanzania,1998,31332355,2.72,2.78,35.4,41.8,-0.6,-19125.0
Thailand,1998,60379325,0.7,1.08,118.2,17.0,-3.9,-232511.0
Timor-Leste,1998,947334,3.07,2.88,63.7,40.4,1.9,1801.0
Togo,1998,4545465,2.54,2.96,83.6,38.5,-4.2,-19184.0
Tonga,1998,98703,0.7,2.63,137.7,31.5,-19.3,-1900.0
Trinidad and Tobago,1998,1255872,0.2,0.7,244.9,14.3,-5.1,-6339.0
Tunisia,1998,9347424,1.11,1.21,60.2,17.8,-1.0,-9515.0
Turkey,1998,64109466,1.46,1.6,83.3,22.3,-1.4,-88535.0
Turkmenistan,1998,4262241,1.48,1.71,9.1,24.5,-2.3,-9738.0
Turks and Caicos Islands,1998,17420,5.25,2.43,18.4,26.1,28.2,0.0
Tuvalu,1998,9975,0.49,1.52,383.7,26.0,-10.3,0.0
Uganda,1998,21684295,3.51,3.48,110.0,51.4,0.3,6370.0
Ukraine,1998,49941236,-0.86,-0.6,86.2,8.4,-2.6,-131883.0
United Arab Emirates,1998,2876234,6.03,1.48,34.4,16.7,45.6,131054.0
United Kingdom,1998,58680367,0.39,0.15,242.6,12.2,2.4,139999.0
United States,1998,275854104,0.0,0.0,30.1,0.0,0.0,0.0
Uruguay,1998,3281014,0.71,0.71,18.7,16.8,0.0,0.0
Uzbekistan,1998,24342331,1.49,1.7,57.2,23.1,-2.1,-49954.0
Vanuatu,1998,182944,0.0,0.0,15.0,0.0,0.0,0.0
Venezuela,1998,23377579,1.84,2.0,26.5,25.0,-1.6,-37109.0
Vietnam,1998,77303765,1.38,1.41,249.3,19.9,-0.3,-22000.0
"Virgin Islands, British",1998,21102,3.14,0.92,139.7,13.2,22.2,0.0
"Virgin Islands, U.S.",1998,108537,0.0,0.0,311.9,0.0,0.0,0.0
Wallis and Futuna,1998,14366,0.8,1.52,101.2,18.7,-7.2,0.0
West Bank,1998,1858769,2.39,3.05,329.6,35.3,-6.6,-12271.0
Yemen,1998,17497189,2.77,3.12,33.1,41.4,-3.5,-60549.0
Zambia,1998,9603804,2.75,2.72,12.9,44.7,0.4,3480.0
Zimbabwe,1998,11896498,1.89,1.88,30.8,32.7,0.1,0.0
Afghanistan,1999,23225412,4.06,3.63,35.6,48.3,4.3,98872.0
Albania,1999,3187327,-0.81,1.29,116.3,18.4,-21.0,-67023.0
Algeria,1999,30202775,1.44,1.49,12.7,19.7,-0.5,-16198.0
American Samoa,1999,57782,0.0,0.0,291.8,0.0,0.0,0.0
Andorra,1999,65073,0.2,0.79,139.0,12.8,-5.9,0.0
Angola,1999,14176422,2.78,3.0,11.4,48.1,-2.2,-31580.0
Anguilla,1999,11079,3.07,1.07,121.7,15.9,20.0,0.0
Antigua and Barbuda,1999,74017,1.61,1.33,167.1,20.8,2.8,0.0
Argentina,1999,36923439,1.1,1.14,13.5,19.1,-0.5,-16447.0
Armenia,1999,3104066,-0.02,0.68,110.1,14.8,-7.0,-21843.0
Aruba,1999,89259,0.9,0.64,495.9,14.0,2.6,0.0
Australia,1999,18612787,1.17,0.65,2.4,13.4,5.2,96483.0
Austria,1999,8094155,0.24,0.0,98.2,9.7,2.4,19786.0
Azerbaijan,1999,8388447,0.91,0.96,101.5,16.8,-0.5,-4300.0
"Bahamas, The",1999,278890,2.14,1.43,27.9,19.8,7.2,2006.0
Bahrain,1999,639964,2.37,2.02,842.1,23.2,3.5,2261.0
Bangladesh,1999,126540775,1.78,2.27,972.1,29.3,-4.9,-618694.0
Barbados,1999,273503,0.51,0.54,636.1,13.8,-0.3,0.0
Belarus,1999,10063643,-0.31,-0.49,49.6,9.2,1.8,17592.0
Belgium,1999,10235655,0.2,0.08,338.1,11.1,1.2,12252.0
Belize,1999,247201,2.03,2.5,10.8,29.5,-4.7,-1158.0
Benin,1999,6460792,3.29,3.24,58.4,45.9,0.5,3184.0
Bermuda,1999,62586,0.92,0.65,0.0,13.4,2.7,0.0
Bhutan,1999,642285,1.84,1.84,16.7,27.2,0.0,0.0
Bolivia,1999,8006590,2.1,2.25,7.4,30.9,-1.5,-12000.0
Bosnia and Herzegovina,1999,3717232,4.29,0.37,72.6,11.4,39.1,145506.0
Botswana,1999,1620722,2.17,1.55,2.9,30.8,6.2,9961.0
Brazil,1999,173401301,1.48,1.48,20.7,21.2,0.0,6778.0
Brunei,1999,317883,2.32,1.99,60.4,23.3,3.3,1055.0
Bulgaria,1999,7968515,-0.74,-0.45,73.4,9.1,-2.9,-22957.0
Burkina Faso,1999,11099130,3.25,3.24,40.5,48.8,0.1,1108.0
Burma,1999,46030719,1.35,1.48,70.4,24.3,-1.3,-59761.0
Burundi,1999,6127525,2.5,3.12,238.6,44.5,-6.2,-37800.0
Cabo Verde,1999,421678,2.03,2.11,104.6,28.8,-0.8,0.0
Cambodia,1999,12263564,1.68,1.89,69.5,28.3,-2.1,-25100.0
Cameroon,1999,15408461,2.76,2.87,32.6,42.5,-1.1,-17373.0
Canada,1999,30820256,0.92,0.38,3.4,11.0,5.4,165229.0
Cayman Islands,1999,37222,3.17,1.0,141.0,14.6,21.7,0.0
Central African Republic,1999,3850538,2.3,2.26,6.2,39.9,0.4,1586.0
Chad,1999,7846902,3.49,3.3,6.2,49.8,1.9,14920.0
Chile,1999,14990468,1.28,1.2,20.2,17.6,0.8,12000.0
China,1999,1256875634,0.61,0.63,134.8,12.7,-0.2,-300000.0
Colombia,1999,40037925,0.74,1.68,38.5,22.3,-9.4,-377296.0
Comoros,1999,532152,2.55,2.92,238.1,39.5,-3.7,-1975.0
Congo (Brazzaville),1999,3023381,2.73,2.65,8.9,36.1,0.8,2500.0
Congo (Kinshasa),1999,51317154,3.1,3.2,22.6,45.8,-1.0,-51200.0
Cook Islands,1999,16807,-3.18,1.81,71.2,24.3,-49.9,0.0
Costa Rica,1999,3799802,2.24,1.65,74.4,20.7,5.9,22365.0
Croatia,1999,4387816,-0.05,-0.15,78.4,10.3,1.0,4495.0
Cuba,1999,11100176,0.36,0.64,101.1,13.6,-2.8,-31224.0
Curaçao,1999,135845,-1.32,0.89,306.0,15.8,-22.1,-3000.0
Cyprus,1999,906875,1.46,0.55,98.1,12.5,9.2,8294.0
Czechia,1999,10280437,-0.11,-0.2,133.1,8.7,0.9,8775.0
Côte d’Ivoire,1999,15791628,2.78,2.68,49.7,41.0,1.0,15356.0
Denmark,1999,5320134,0.3,0.13,125.4,12.5,1.7,8896.0
Djibouti,1999,643565,3.69,2.59,27.8,35.8,11.0,7045.0
Dominica,1999,70378,0.8,0.92,93.7,17.4,-1.1,0.0
Dominican Republic,1999,8107340,1.52,1.96,167.8,26.1,-4.4,-35545.0
Ecuador,1999,12276866,1.73,2.27,49.4,27.7,-5.4,-66282.0
Egypt,1999,64211953,2.05,2.1,64.5,27.2,-0.5,-33946.0
El Salvador,1999,5765125,1.25,1.98,278.2,26.5,-7.3,-42000.0
Equatorial Guinea,1999,536315,5.94,2.88,19.1,41.5,30.6,16418.0
Eritrea,1999,3805915,2.62,2.61,37.7,36.3,0.0,0.0
Estonia,1999,1389756,-0.74,-0.43,32.8,8.9,-3.1,-4242.0
Eswatini,1999,1033083,-0.05,2.05,60.0,34.5,-21.0,-21684.0
Ethiopia,1999,61311715,2.59,2.62,55.9,39.3,-0.3,-16522.0
Faroe Islands,1999,45115,1.28,0.48,32.4,13.7,7.9,0.0
Fiji,1999,799025,0.73,1.63,43.7,22.3,-9.0,-7176.0
Finland,1999,5158097,0.21,0.16,17.0,11.2,0.5,2778.0
France,1999,60967757,0.49,0.38,95.2,12.9,1.0,63550.0
French Polynesia,1999,231570,1.84,1.66,60.5,20.9,1.8,0.0
Gabon,1999,1162625,3.4,2.27,4.5,33.3,11.4,13198.0
"Gambia, The",1999,1301165,2.39,3.42,128.6,44.7,-10.3,-13437.0
Gaza Strip,1999,1092595,3.15,3.69,0.0,41.5,-5.4,-5883.0
Georgia,1999,4852143,-0.59,0.38,69.6,12.4,-9.8,-47300.0
Germany,1999,82074778,0.15,-0.1,235.4,9.4,2.5,204002.0
Ghana,1999,18609170,2.39,2.38,81.8,34.4,0.1,1599.0
Gibraltar,1999,26755,-0.64,0.39,0.0,14.2,-10.3,0.0
Greece,1999,10872691,0.31,-0.02,83.2,9.3,3.4,36453.0
Greenland,1999,56696,0.29,0.85,0.0,16.7,-5.6,0.0
Grenada,1999,100984,0.56,1.04,293.6,18.3,-4.8,0.0
Guam,1999,152590,0.0,0.0,280.5,0.0,0.0,0.0
Guatemala,1999,11053560,2.56,2.84,103.2,34.9,-2.7,-30336.0
Guernsey,1999,61700,0.46,0.24,791.0,11.3,2.2,0.0
Guinea,1999,7610461,2.8,2.54,31.0,41.1,2.6,19500.0
Guinea-Bissau,1999,1182525,2.08,2.67,42.1,42.3,-5.9,-6965.0
Guyana,1999,773577,1.5,2.26,3.9,29.4,-7.6,-5911.0
Haiti,1999,8121292,2.0,2.28,294.7,34.0,-2.8,-22865.0
Honduras,1999,6198223,0.0,0.0,55.4,0.0,0.0,0.0
Hong Kong,1999,6596171,0.91,0.26,0.0,7.8,6.5,42677.0
Hungary,1999,10171610,-0.28,-0.48,113.5,9.3,2.0,20148.0
Iceland,1999,277278,1.2,0.79,2.8,14.8,4.1,1122.0
India,1999,1031451086,1.77,1.78,346.9,26.5,-0.1,-111891.0
Indonesia,1999,210746403,1.62,1.66,116.3,23.0,-0.4,-91056.0
Iran,1999,65763053,1.09,1.3,42.9,18.7,-2.1,-137346.0
Iraq,1999,22165169,3.01,3.01,50.7,35.8,0.0,0.0
Ireland,1999,3774856,1.23,0.57,54.8,14.3,6.6,24984.0
Isle of Man,1999,75035,0.88,-0.12,131.2,11.9,9.9,0.0
Israel,1999,5958233,2.56,1.56,277.2,21.5,9.9,59200.0
Italy,1999,57655527,0.17,-0.04,196.0,9.3,2.1,120179.0
Jamaica,1999,2781557,1.17,1.66,256.8,23.5,-4.9,-13729.0
Japan,1999,126511920,0.18,0.19,347.1,9.5,-0.1,-12428.0
Jersey,1999,86928,0.56,0.3,749.4,12.3,2.6,0.0
Jordan,1999,4674039,2.36,2.74,52.6,31.8,-3.9,-18004.0
Kazakhstan,1999,15709484,-0.55,0.56,5.8,15.2,-11.0,-173273.0
Kenya,1999,28569697,2.77,3.17,50.2,39.9,-4.0,-113944.0
Kiribati,1999,83526,2.19,2.5,103.0,34.0,-3.1,0.0
"Korea, North",1999,22611910,0.88,0.71,187.8,18.7,1.7,37256.0
"Korea, South",1999,46979349,0.67,0.79,484.7,13.1,-1.2,-56967.0
Kosovo,1999,1762334,-8.05,1.55,161.9,22.7,-96.0,-169204.0
Kuwait,1999,1916300,2.92,1.93,107.5,21.5,9.9,19011.0
Kyrgyzstan,1999,4883108,1.33,1.54,25.5,22.6,-2.1,-10291.0
Laos,1999,5285813,2.29,2.43,22.9,36.5,-1.4,-7500.0
Latvia,1999,2385906,-0.74,-0.56,38.3,8.1,-1.7,-4080.0
Lebanon,1999,4141462,2.06,1.87,404.8,23.9,1.9,7895.0
Lesotho,1999,1877837,0.62,1.78,61.9,31.2,-11.6,-21804.0
Liberia,1999,2616113,5.56,2.97,27.2,48.2,25.9,67845.0
Libya,1999,4943111,0.0,0.0,2.8,0.0,0.0,0.0
Liechtenstein,1999,32315,1.29,0.69,202.0,13.3,6.0,0.0
Lithuania,1999,3493175,0.05,-0.1,55.7,10.4,1.5,5148.0
Luxembourg,1999,432439,1.51,0.41,167.2,12.9,10.9,4719.0
Macau,1999,427773,1.41,0.65,0.0,9.7,7.7,3276.0
Madagascar,1999,15237860,2.93,2.93,26.2,39.6,0.0,0.0
Malawi,1999,10595846,3.02,3.37,112.6,45.7,-3.6,-37722.0
Malaysia,1999,22754284,2.41,1.81,69.2,22.4,6.0,136793.0
Maldives,1999,291473,3.82,1.81,978.1,22.4,20.2,5873.0
Mali,1999,10572728,2.48,3.33,8.7,50.2,-8.5,-90220.0
Malta,1999,391413,0.73,0.32,0.0,11.3,4.1,1584.0
Marshall Islands,1999,52291,1.39,3.19,288.9,37.4,-18.1,0.0
Mauritania,1999,2436929,4.93,3.35,2.4,42.9,15.7,38311.0
Mauritius,1999,1173129,1.16,1.06,577.9,17.4,0.9,1092.0
Mexico,1999,98468947,1.27,1.93,50.7,24.2,-6.6,-651228.0
"Micronesia, Federated States of",1999,107500,0.22,2.3,153.1,28.8,-20.8,-2239.0
Moldova,1999,4224863,-1.04,-0.08,128.5,10.7,-9.6,-40516.0
Monaco,1999,31674,0.55,-0.1,0.0,6.5,6.5,0.0
Mongolia,1999,2432721,1.22,1.46,1.6,21.7,-2.4,-5778.0
Montenegro,1999,623269,-0.07,0.55,46.3,14.2,-6.2,-3889.0
Montserrat,1999,3378,168.89,-0.41,33.1,13.3,0.0,5719.0
Morocco,1999,28150084,1.2,1.61,39.3,23.5,-4.1,-114588.0
Mozambique,1999,18148183,1.88,2.4,23.1,44.3,-5.2,-94401.0
Namibia,1999,1825943,2.37,2.16,2.2,33.0,2.1,3781.0
Nauru,1999,9870,-0.12,2.11,470.0,28.5,-22.3,0.0
Nepal,1999,23086887,1.76,2.41,161.1,33.1,-6.4,-147846.0
Netherlands,1999,15819915,0.64,0.38,466.8,12.7,2.6,40372.0
New Caledonia,1999,207179,1.92,1.56,11.3,20.8,3.6,0.0
New Zealand,1999,3783756,0.53,0.77,14.3,15.1,-2.4,-8987.0
Nicaragua,1999,4765134,1.83,2.36,39.7,28.7,-5.3,-25388.0
Niger,1999,10386457,3.35,3.56,8.2,57.3,-2.1,-22192.0
Nigeria,1999,122200766,2.72,2.72,134.2,44.3,0.0,2500.0
North Macedonia,1999,2005700,0.51,0.53,78.9,13.6,-0.3,0.0
Northern Mariana Islands,1999,67319,0.0,0.0,142.6,0.0,0.0,0.0
Norway,1999,4463378,0.74,0.32,14.7,13.3,4.3,19001.0
Oman,1999,2376079,2.39,2.33,7.7,27.2,0.7,1590.0
Pakistan,1999,144061210,2.46,2.63,186.9,35.9,-1.7,-239500.0
Palau,1999,19202,2.17,0.46,41.8,13.0,17.0,0.0
Panama,1999,2863073,1.84,1.82,38.5,23.0,0.2,0.0
Papua New Guinea,1999,5269142,2.84,2.84,11.6,35.3,0.0,0.0
Paraguay,1999,5310662,2.02,2.03,13.4,25.2,-0.1,0.0
Peru,1999,25393045,1.54,1.73,19.8,23.4,-1.9,-47304.0
Philippines,1999,74894959,2.21,2.4,251.2,29.5,-1.9,-142714.0
Poland,1999,38665538,-0.04,0.0,127.1,9.9,-0.4,-14001.0
Portugal,1999,10289708,0.6,0.08,112.5,11.3,5.3,54257.0
Puerto Rico,1999,3800081,0.0,0.0,428.5,0.0,0.0,0.0
Qatar,1999,608950,5.05,1.58,52.6,17.8,34.7,21151.0
Romania,1999,22414432,-0.7,-0.14,97.5,10.5,-5.6,-126079.0
Russia,1999,148665109,-0.45,-0.62,9.1,8.2,1.7,251588.0
Rwanda,1999,7986197,1.09,2.64,323.7,41.2,-15.6,-124208.0
Saint Barthelemy,1999,6937,2.7,1.02,277.5,15.1,16.7,0.0
"Saint Helena, Ascension, and Tristan da Cunha",1999,7177,0.79,0.79,18.2,13.9,0.0,0.0
Saint Kitts and Nevis,1999,45128,1.13,0.99,172.9,19.2,1.4,0.0
Saint Lucia,1999,152116,0.77,1.34,251.0,19.7,-5.8,0.0
Saint Martin,1999,29301,-3.75,1.43,542.6,17.6,-51.8,-1517.0
Saint Pierre and Miquelon,1999,6433,0.05,0.45,26.6,10.9,-4.0,0.0
Saint Vincent and the Grenadines,1999,108117,-0.28,1.28,277.9,20.5,-15.6,-1686.0
Samoa,1999,174755,0.8,2.41,61.9,30.1,-16.1,-2819.0
San Marino,1999,26595,1.74,0.4,436.0,11.4,13.5,0.0
Sao Tome and Principe,1999,137665,2.14,3.35,142.8,45.2,-12.2,-1674.0
Saudi Arabia,1999,20853053,2.44,2.39,9.7,27.8,0.5,9986.0
Senegal,1999,9247928,2.07,2.95,48.0,41.6,-8.8,-81169.0
Serbia,1999,7677156,-0.45,-0.38,99.1,9.4,-0.7,-5068.0
Seychelles,1999,78137,1.27,1.15,171.7,18.7,1.2,0.0
Sierra Leone,1999,4077065,0.45,2.44,56.9,44.9,-19.9,-81048.0
Singapore,1999,4080719,2.77,1.09,0.0,14.7,16.8,68687.0
Sint Maarten,1999,31095,-0.95,1.11,914.6,14.5,-20.5,0.0
Slovakia,1999,5395735,0.1,0.07,112.2,10.4,0.3,1453.0
Slovenia,1999,2009651,0.05,-0.07,99.7,8.7,1.2,2333.0
Solomon Islands,1999,420312,2.8,3.06,15.0,35.4,-2.6,-1087.0
Somalia,1999,8844111,4.21,4.25,14.1,58.7,-0.3,-2664.0
South Africa,1999,44556038,1.29,1.34,36.7,22.1,-0.5,-22950.0
South Sudan,1999,6115424,0.0,0.0,9.5,0.0,0.0,0.0
Spain,1999,40251435,0.61,0.02,80.7,9.4,5.9,237854.0
Sri Lanka,1999,18792874,0.0,0.0,290.8,0.0,0.0,0.0
Sudan,1999,27012286,0.0,0.0,14.5,0.0,0.0,0.0
Suriname,1999,459103,1.68,1.82,2.9,24.8,-1.4,0.0
Sweden,1999,8909790,0.09,-0.07,21.7,9.9,1.6,14134.0
Switzerland,1999,7242499,0.45,0.22,181.1,10.8,2.3,16797.0
Syria,1999,16054627,0.0,0.0,86.4,0.0,0.0,0.0
Taiwan,1999,22007811,0.75,0.72,682.2,12.9,0.3,6575.0
Tajikistan,1999,6021261,1.85,2.09,42.6,29.5,-2.3,-14094.0
Tanzania,1999,32250445,3.05,2.81,36.4,41.6,2.4,78302.0
Thailand,1999,60721759,0.44,0.83,118.9,14.5,-4.0,-239887.0
Timor-Leste,1999,925505,-25.51,2.9,62.2,41.4,-284.1,-262904.0
Togo,1999,4661188,2.49,2.96,85.7,38.5,-4.7,-21888.0
Tonga,1999,99394,0.69,2.6,138.6,31.2,-19.1,-1900.0
Trinidad and Tobago,1999,1258510,0.22,0.73,245.4,14.6,-5.0,-6339.0
Tunisia,1999,9447881,1.03,1.13,60.8,17.0,-1.0,-9515.0
Turkey,1999,65044557,1.44,1.57,84.5,21.9,-1.4,-88535.0
Turkmenistan,1999,4324677,1.43,1.64,9.2,23.7,-2.1,-9218.0
Turks and Caicos Islands,1999,18342,5.07,2.26,19.3,25.4,28.1,0.0
Tuvalu,1999,10014,0.31,1.44,385.2,25.2,-11.3,0.0
Uganda,1999,22437523,3.33,3.5,113.8,51.3,-1.8,-39718.0
Ukraine,1999,49491190,-0.95,-0.7,85.4,7.9,-2.4,-120545.0
United Arab Emirates,1999,3051363,5.79,1.44,36.5,16.3,43.5,132730.0
United Kingdom,1999,58909682,0.39,0.12,243.5,11.9,2.8,163000.0
United States,1999,279040168,0.0,0.0,30.5,0.0,0.0,0.0
Uruguay,1999,3302718,0.61,0.65,18.9,16.4,-0.4,-1283.0
Uzbekistan,1999,24701544,1.44,1.69,58.1,22.4,-2.5,-62098.0
Vanuatu,1999,186341,2.68,2.89,15.3,35.2,-2.2,0.0
Venezuela,1999,23805297,1.79,1.95,27.0,24.5,-1.7,-39292.0
Vietnam,1999,78374934,1.37,1.4,252.8,19.8,-0.3,-24000.0
"Virgin Islands, British",1999,21781,3.2,1.04,144.2,14.5,21.5,0.0
"Virgin Islands, U.S.",1999,108599,0.0,0.0,312.1,0.0,0.0,0.0
Wallis and Futuna,1999,14519,1.32,2.03,102.2,23.8,-7.1,0.0
West Bank,1999,1903119,2.32,2.97,337.4,34.3,-6.5,-12271.0
Yemen,1999,17984703,2.72,3.13,34.1,41.0,-4.0,-72389.0
Zambia,1999,9886987,3.06,2.67,13.3,44.4,3.8,37812.0
Zimbabwe,1999,12111638,1.7,1.82,31.3,32.8,-1.3,-15209.0
Afghanistan,2000,23603559,-0.79,3.52,36.2,46.7,-43.1,-1017547.0
Albania,2000,3158350,-1.02,1.1,115.3,16.4,-21.2,-67023.0
Algeria,2000,30634947,1.4,1.46,12.9,19.2,-0.6,-16971.0
American Samoa,2000,57699,0.09,2.65,291.4,30.0,-25.6,-1474.0
Andorra,2000,65099,-0.12,0.61,139.1,11.5,-7.3,0.0
Angola,2000,14550196,2.43,3.02,11.7,47.9,-5.9,-86042.0
Anguilla,2000,11426,3.09,1.09,125.6,16.9,20.0,0.0
Antigua and Barbuda,2000,75352,1.97,1.7,170.1,23.5,2.7,0.0
Argentina,2000,37335675,1.12,1.17,13.6,19.3,-0.4,-16447.0
Armenia,2000,3100044,-0.24,0.64,109.9,14.2,-8.8,-27170.0
Aruba,2000,89995,0.74,0.56,500.0,13.3,1.9,0.0
Australia,2000,18835722,1.21,0.64,2.5,13.3,5.7,107275.0
Austria,2000,8113392,0.23,0.02,98.4,9.7,2.1,17302.0
Azerbaijan,2000,8463076,0.86,0.92,102.4,16.4,-0.7,-5500.0
"Bahamas, The",2000,284758,2.02,1.32,28.4,18.7,7.0,2006.0
Bahrain,2000,654862,2.24,1.89,861.7,22.0,3.5,2261.0
Bangladesh,2000,128730802,1.65,2.13,988.9,27.6,-4.8,-616559.0
Barbados,2000,274880,0.5,0.53,639.3,13.7,-0.3,0.0
Belarus,2000,10033392,-0.29,-0.41,49.4,9.3,1.2,12131.0
Belgium,2000,10263618,0.34,0.1,339.0,11.2,2.5,25130.0
Belize,2000,252360,2.1,2.43,11.1,28.7,-3.3,0.0
Benin,2000,6677027,3.29,3.24,60.4,45.7,0.5,3332.0
Bermuda,2000,63140,0.84,0.58,0.0,13.2,2.7,0.0
Bhutan,2000,653997,1.78,1.78,17.0,26.5,0.0,0.0
Bolivia,2000,8176787,2.11,2.25,7.5,30.6,-1.5,-12000.0
Bosnia and Herzegovina,2000,3805512,0.45,0.24,74.3,10.4,2.1,8146.0
Botswana,2000,1654761,1.99,1.39,2.9,30.2,6.0,9961.0
Brazil,2000,175969492,1.46,1.46,21.1,21.0,0.0,4445.0
Brunei,2000,325279,2.28,1.96,61.8,23.0,3.2,1049.0
